player,ppg,apg,rpg,bpg,num_seasons,MVPs,Finals_MVP,Championships,ROTY,DPOTY,CPOY,NBA1st,NBA2nd,NBA3rd,DEF1st,DEF2nd,AllStarCount,hof
Darnell Mee,1.9,0.45,0.9,0.325,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Darren Mornin,4.1739130435,0.652173913,3.5217391304,0.0869565217,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
David Wesley,12.478398314,4.3825079031,2.5342465753,0.1696522655,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Dell Demps,2.95,0.45,0.45,0.05,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Dino Radja,16.665178571,1.5892857143,8.40625,1.2589285714,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,True
Doug Edwards,2.3882352941,0.7058823529,1.8,0.3176470588,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Eric Riley,3.0860215054,0.3225806452,2.5752688172,0.7096774194,5,0,0.0,1.0,0,0,0,0,0,0,0,0,0,False
Ervin Johnson,4.1100591716,0.4579881657,6.0923076923,1.2863905325,13,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Evers Burns,2.4347826087,0.3913043478,1.3043478261,0.1304347826,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Gary Alexande,1.7272727273,0.1818181818,1.3636363636,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Geert Hammink,1.75,0.25,0.875,0.0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
George Lynch,6.6007751938,1.4483204134,5.0413436693,0.3333333333,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Gerald Madkin,1.6666666667,1.3541666667,0.5416666667,0.0208333333,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Gheorghe Mure,9.8371335505,0.4885993485,6.3745928339,1.4820846906,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Greg Graham,4.5314009662,0.9710144928,1.0579710145,0.0579710145,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Harold Ellis,5.7931034483,0.6137931034,2.0068965517,0.124137931,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Isaiah Rider,16.705150977,2.7264653641,3.8472468917,0.2415630551,9,0,0.0,1.0,0,0,0,0,0,0,0,0,0,False
Jamal Mashbur,19.057283142,3.9509001637,5.3535188216,0.178396072,11,0,0.0,0.0,0,0,0,0,0,1,0,0,1,False
James Robinso,7.5643044619,1.8766404199,1.7322834646,0.186351706,7,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Josh Grant,2.9622641509,0.4528301887,1.679245283,0.1509433962,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
